name,kor_name,tag1,tag2,attack_range,region,related_champions,release_code,position1,position2,rune,items,tier
aatrox,아트록스,Fighter,Tank,175,Runeterra,"aatrox,kayn,varus,tryndamere",113,top,RIP,Conqueror,"Sundered Sky,Spear of Shojin,Sterak's Gage",1
ahri,아리,Mage,Assassin,550,Ionia,"ahri,yasuo,lillia,wukong",88,mid,RIP,Electrocute,"Luden's Companion,Stormsurge,Shadowflame",3
akali,아칼리,Assassin,RIP,125,Ionia,"akali,kennen,shen,zed,jhin",50,mid,top,Fleet Footwork,"Stormsurge,Shadowflame,Zhonya's Hourglass",2
akshan,아크샨,Marksman,Assassin,500,Shurima,"akshan,lucian,senna,viego,gwen",155,mid,top,Press the Attack,"Voltaic Cyclosword,The Collector,Kraken Slayer",2
alistar,알리스타,Tank,Support,125,Runeterra,"alistar,xin zhao",7,support,RIP,Glacial Augment,"Locket of the Iron Solari,Zeke's Convergence,Knight's Vow",3
amumu,아무무,Tank,Mage,125,Shurima,amumu,23,jungle,RIP,Conqueror,"Sunfire Aegis,Thornmail,Kaenic Rookern",4
anivia,애니비아,Mage,Support,600,Freljord,"anivia,ornn,volibear,ashe,nunu & willump",26,mid,RIP,Electrocute,"Tear of the Goddess,Rod of Ages,Seraph's Embrace,Zhonya's Hourglass",2
annie,애니,Mage,RIP,625,Runeterra,annie,8,mid,RIP,Electrocute,"Malignance,Stormsurge,Shadowflame",3
aphelios,아펠리오스,Marksman,RIP,550,Targon,"aphelios,diana,leona",146,adc,RIP,Fleet Footwork,"Stormrazor,Infinity Edge,Bloodthirster",4
ashe,애쉬,Marksman,Support,600,Freljord,"ashe,sejuani,tryndamere,braum,lissandra",9,adc,support,Lethal Tempo,"Kraken Slayer,Trinity Force,Terminus",3
aurelionsol,아우렐리온 솔,Mage,RIP,550,Runeterra,"aurelionsol,soraka,leona,diana",129,mid,RIP,Arcane Comet,"Tear of the Goddess,Rylai's Crystal Scepter,Liandry's Torment,Seraph's Embrace",3
azir,아지르,Mage,Marksman,525,Shurima,"azir,nasus,sivir,xerath,renekton,taliyah,cassiopeia",120,mid,RIP,Fleet Footwork,"Nashor's Tooth,Lich Bane,Zhonya's Hourglass",2
bard,바드,Support,Mage,500,Runeterra,"bard,aurelion sol,ryze",123,support,RIP,Fleet Footwork,"Frozen Heart,Kaenic Rookern,Imperial Mandate",1
belveth,벨베스,Fighter,RIP,175,The Void,"belveth,kai'sa,lissandra,malzahar,vel'koz",159,jungle,RIP,Conqueror,"Kraken Slayer,Stridebreaker,Wit's End",3
blitzcrank,블리츠크랭크,Tank,Fighter,125,Zaun,"blitzcrank,orianna,viktor",33,support,RIP,Glacial Augment,"Trailblazer,Zeke's Convergence,Knight's Vow",1
brand,브랜드,Mage,RIP,550,Runeterra,"brand,ryze,anivia,lissandra,nasus,renekton,xerath",73,jungle,support,Dark Harvest,"Liandry's Torment,Rylai's Crystal Scepter,Zhonya's Hourglass",1
braum,브라움,Support,Tank,125,Freljord,"braum,ashe,tryndamere,lissandra,ornn",118,support,RIP,Guardian,"Locket of the Iron Solari,Knight's Vow,Zeke's Convergence",3
briar,브라이어,Fighter,Assassin,125,Noxus,"briar,sion,swain,talon,vladimir",164,jungle,top,Hail of Blades,"Youmuu's Ghostblade,The Collector,Lord Dominik's Regards",2
caitlyn,케이틀린,Marksman,RIP,650,Piltover,"caitlyn,vi,jinx",66,adc,RIP,Fleet Footwork,"Stormrazor,Infinity Edge,Rapid Firecannon",2
camille,카밀,Fighter,Tank,125,Piltover,"camille,caitlyn,ezreal,jayce,viktor,vi,ekko,orianna,warwick",133,top,RIP,Grasp of the Undying,"Trinity Force,Ravenous Hydra,Sterak's Gage",4
cassiopeia,카시오페아,Mage,RIP,550,Noxus,"cassiopeia,katarina,renekton,nasus,xerath,sivir,azir,talon",65,mid,top,Conqueror,"Tear of the Goddess,Rod of Ages,Seraph's Embrace,Rylai's Crystal Scepter",3
chogath,초가스,Tank,Mage,125,The Void,"chogath,kog'maw,kha'zix,vel'koz",24,top,RIP,Grasp of the Undying,"Heartsteel,Sunfire Aegis,Thornmail",5
corki,코르키,Marksman,RIP,550,Bandle City,"corki,heimerdinger,veigar",36,mid,RIP,First Strike,"Muramana,Malignance,Eclipse",4
darius,다리우스,Fighter,Tank,175,Noxus,"darius,draven,katarina,swain,vladimir",97,top,RIP,Conqueror,"Trinity Force,Sterak's Gage,Dead Man's Plate",1
diana,다이애나,Fighter,Mage,150,Targon,"diana,leona,taric,zoe,pantheon",101,jungle,mid,Conqueror,"Stormsurge,Shadowflame,Zhonya's Hourglass",5
